year,month,region,temp_anomaly,co2,ch4,n2o,tsi,owid_co2,owid_co2_luc,owid_primary_energy,aerosol_optical_depth,decimal_year,time_since_baseline,co2_growth,co2_ma12,ch4_growth,ch4_ma12,n2o_growth,n2o_ma12,temp_ma12,aerosol_log,aerosol_ma12,tsi_anomaly,month_sin,month_cos
2002,5,Southern_Hemisphere,0.555,373.71,1770.28,316.85,1362.1769104003906,26265.332,32359.027,113894.43,0.0,2002.3333333333333,23.333333333333258,1.9499999999999886,371.3283333333333,-0.6000000000001364,1771.2891666666665,0.7400000000000091,316.6608333333333,0.5245833333333333,0.0,0.0,0.5545965830485784,0.49999999999999994,-0.8660254037844387
2002,6,Southern_Hemisphere,0.44500000000000006,372.84,1766.89,316.83,1362.1860046386719,26265.332,32359.027,113894.43,0.0,2002.4166666666667,23.416666666666742,2.009999999999991,371.49583333333334,0.790000000000191,1771.3550000000002,0.6699999999999591,316.71666666666664,0.5275,0.0,0.0,0.5636908213298284,1.2246467991473532e-16,-1.0
2002,7,Southern_Hemisphere,0.525,371.41,1764.26,316.82,1362.1697235107422,26265.332,32359.027,113894.43,0.0,2002.5,23.5,1.9600000000000364,371.65916666666664,1.240000000000009,1771.4583333333333,0.589999999999975,316.7658333333333,0.53125,0.0,0.0,0.5474096934001409,-0.4999999999999997,-0.8660254037844388
2002,8,Southern_Hemisphere,0.44500000000000006,370.35,1766.98,316.82,1362.1280670166016,26265.332,32359.027,113894.43,0.0,2002.5833333333333,23.583333333333258,2.0400000000000205,371.82916666666665,2.4700000000000273,1771.6641666666667,0.5199999999999818,316.80916666666667,0.5375,0.0,0.0,0.5057531992595159,-0.8660254037844385,-0.5000000000000004
2002,9,Southern_Hemisphere,0.545,370.67,1773.76,316.87,1362.086410522461,26265.332,32359.027,113894.43,0.0,2002.6666666666667,23.666666666666742,2.3100000000000023,372.0216666666667,3.3199999999999363,1771.9408333333333,0.45999999999997954,316.8475,0.5495833333333334,0.0,0.0,0.4640967051188909,-1.0,-1.8369701987210297e-16
2002,10,Southern_Hemisphere,0.45500000000000007,371.95,1778.26,316.99,1362.0447540283203,26265.332,32359.027,113894.43,0.0,2002.75,23.75,2.240000000000009,372.2083333333333,2.769999999999982,1772.1716666666669,0.4000000000000341,316.8808333333333,0.5558333333333334,0.0,0.0,0.4224402109782659,-0.8660254037844386,0.5000000000000001
2002,11,Southern_Hemisphere,0.505,373.28,1779.49,317.13,1362.0030975341797,26265.332,32359.027,113894.43,0.0,2002.8333333333333,23.833333333333258,2.2199999999999704,372.3933333333334,2.910000000000082,1772.4141666666667,0.37000000000000455,316.9116666666667,0.5470833333333334,0.0,0.0,0.3807837168376409,-0.5000000000000004,0.8660254037844384
2002,12,Southern_Hemisphere,0.35500000000000004,374.26,1779.64,317.24,1361.961441040039,26265.332,32359.027,113894.43,0.0,2002.9166666666667,23.916666666666742,2.2799999999999727,372.5833333333333,3.7200000000000273,1772.7241666666669,0.37000000000000455,316.94250000000005,0.54,0.0,0.0,0.3391272226970159,-2.4492935982947064e-16,1.0
2003,1,Southern_Hemisphere,0.6066666666666667,374.94,1777.54,317.29,1361.9197845458984,27652.691,34973.902,117849.602,0.0,2003.0,24.0,2.430000000000007,372.78583333333336,3.4200000000000728,1773.0091666666667,0.36000000000001364,316.9725,0.5343055555555556,0.0,0.0,0.2974707285563909,0.49999999999999994,0.8660254037844387
2003,2,Southern_Hemisphere,0.44666666666666666,375.47,1774.83,317.34,1361.8781280517578,27652.691,34973.902,117849.602,0.0,2003.0833333333333,24.083333333333258,2.5600000000000023,372.9991666666667,1.9700000000000273,1773.1733333333334,0.3699999999999477,317.00333333333333,0.5136111111111111,0.0,0.0,0.2558142344157659,0.8660254037844386,0.5000000000000001
2003,3,Southern_Hemisphere,0.4666666666666667,375.91,1774.84,317.41,1361.8364715576172,27652.691,34973.902,117849.602,0.0,2003.1666666666667,24.166666666666742,2.5300000000000296,373.21000000000004,1.4299999999998363,1773.2924999999998,0.4500000000000455,317.04083333333335,0.48625000000000007,0.0,0.0,0.2141577402751409,1.0,6.123233995736766e-17
2003,4,Southern_Hemisphere,0.41666666666666674,376.39,1775.8,317.48,1361.7948150634766,27652.691,34973.902,117849.602,0.0,2003.25,24.25,2.659999999999968,373.4316666666667,3.0599999999999454,1773.5475,0.5800000000000409,317.0891666666667,0.4805555555555556,0.0,0.0,0.1725012461345159,0.8660254037844387,-0.4999999999999998
2003,5,Southern_Hemisphere,0.4666666666666667,376.54,1774.45,317.51,1361.753158569336,27652.691,34973.902,117849.602,0.0,2003.3333333333333,24.333333333333258,2.830000000000041,373.6675,4.170000000000073,1773.8950000000002,0.6599999999999682,317.14416666666665,0.4731944444444445,0.0,0.0,0.1308447519938909,0.49999999999999994,-0.8660254037844387
2003,6,Southern_Hemisphere,0.33666666666666667,375.71,1771.68,317.53,1361.7115020751953,27652.691,34973.902,117849.602,0.0,2003.4166666666667,24.416666666666742,2.8700000000000045,373.9066666666666,4.789999999999964,1774.2941666666666,0.6999999999999886,317.20250000000004,0.46416666666666667,0.0,0.0,0.0891882578532659,1.2246467991473532e-16,-1.0
2003,7,Southern_Hemisphere,0.44666666666666666,374.17,1770.71,317.56,1361.6815032958984,27652.691,34973.902,117849.602,0.0,2003.5,24.5,2.759999999999991,374.1366666666666,6.4500000000000455,1774.8316666666667,0.7400000000000091,317.26416666666665,0.45763888888888893,0.0,0.0,0.059189478556390895,-0.4999999999999997,-0.8660254037844388
2003,8,Southern_Hemisphere,0.5066666666666667,372.94,1774.3,317.63,1361.6631622314453,27652.691,34973.902,117849.602,0.0,2003.5833333333333,24.583333333333258,2.589999999999975,374.3525,7.319999999999936,1775.4416666666666,0.8100000000000023,317.3316666666667,0.46277777777777773,0.0,0.0,0.040848414103265895,-0.8660254037844385,-0.5000000000000004
2003,9,Southern_Hemisphere,0.4866666666666667,373.09,1780.55,317.77,1361.6448211669922,27652.691,34973.902,117849.602,0.0,2003.6666666666667,24.666666666666742,2.419999999999959,374.55416666666673,6.789999999999964,1776.0074999999997,0.8999999999999773,317.4066666666667,0.4579166666666667,0.0,0.0,0.022507349650140895,-1.0,-1.8369701987210297e-16
2003,10,Southern_Hemisphere,0.5866666666666667,374.36,1784.69,317.93,1361.626480102539,27652.691,34973.902,117849.602,0.0,2003.75,24.75,2.410000000000025,374.75500000000005,6.430000000000064,1776.5433333333333,0.9399999999999977,317.485,0.4688888888888889,0.0,0.0,0.004166285197015895,-0.8660254037844386,0.5000000000000001
2003,11,Southern_Hemisphere,0.3866666666666667,375.65,1785.28,318.04,1361.608139038086,27652.691,34973.902,117849.602,0.0,2003.8333333333333,24.833333333333258,2.3700000000000045,374.95249999999993,5.789999999999964,1777.0258333333331,0.910000000000025,317.56083333333333,0.45902777777777776,0.0,0.0,-0.014174779256109105,-0.5000000000000004,0.8660254037844384
